district,year,total_exp_lakh,total_wages_lakh,person_days,avg_wage_daily,avg_days_per_hh,total_hh_worked,total_individuals,hh_100days,active_jobcards,total_jobcards,sc_persondays,st_persondays,women_persondays,works_completed,works_ongoing,pct_agri_works,pct_nrm_works,pct_timely_payment,labour_budget,log_wage,log_exp_lakh,log_person_days,exp_per_hh,log_exp_per_hh,sc_share,st_share,women_share,budget_utilisation,high_spend,time,district_id
24 parganas north,2018,248334.4821124436,154227.7738031064,15917515,126.63988094422092,45.083333333333336,209838,297435,82080,434106,724435,35055576,6184871,63514674,512348,102934,60.365,49.9725,135.32833333333335,13723052,4.841347475460351,12.422535861457938,16.582930696055787,118345.81063126963,11.681374665962784,2.2023271848652257,0.3885575732141606,3.990238049092462,1.1599107108243851,1,0,0
24 parganas north,2019,195390.905901408,126096.4479130125,14412557,142.36217953225332,37.333333333333336,242522,325192,38017,458787,759101,26426209,4887962,51493343,441896,93168,58.56666666666666,41.10916666666667,127.00166666666667,12524000,4.958374370529384,12.182762594505668,16.48361046783583,80566.26033984876,11.296847646715994,1.8335545177722454,0.3391460654760984,3.5728110563587014,1.1507950335356116,1,1,0
24 parganas north,2020,307586.876921807,216058.36515786697,18798401,157.64874140514735,39.25,323019,433169,46976,491865,919050,36565873,6829314,66555621,554778,127928,60.41916666666666,38.568333333333335,111.985,18806649,5.060369402484082,12.636516104009283,16.749282424187474,95222.53394438316,11.463982395527404,1.9451586866351027,0.36329228214676346,3.540493736674731,0.9995614317042871,0,2,0
24 parganas north,2021,313722.3624524421,191994.35056646008,16147424,186.57453976139809,34.166666666666664,309029,410879,33423,504492,987755,29108200,5431613,53590937,550290,140748,53.88583333333333,47.406666666666666,100.3125,10899987,5.228830836239107,12.65626686527389,16.59727115219614,101518.7449891247,11.52800859045766,1.8026528565794766,0.3363764399820058,3.3188536450148334,1.4814168126989509,1,3,0
24 parganas north,2022,53153.620819,45351.397389,2028361,193.3031216924111,22.25,87871,103266,83,469460,880610,7529525,1338921,12094005,192235,105412,60.692499999999995,62.145,108.63250000000001,0,5.26425953555316,10.880960319200884,14.522739128749999,60490.51543626453,11.010258393461383,3.712122743436696,0.660099952621846,5.962451950121305,,1,4,0
24 parganas north,2023,6563.47634,19.24153,0,,0.0,0,0,0,421151,873367,0,0,0,119,85397,7.7991666666666655,0.3466666666666667,0.0,0,,8.789428018132769,0.0,,,0.0,0.0,0.0,,1,5,0
24 parganas north,2024,58069.74773,0.0,0,,0.0,0,0,0,313170,873453,0,0,0,0,85386,0.0,0.0,0.0,0,,10.969417334639317,0.0,,,0.0,0.0,0.0,,1,6,0
24 parganas south,2018,490762.407290922,313875.62042868603,30868123,132.376492970133,64.16666666666667,343621,589877,159501,706808,1065551,51878605,2506970,99417730,609291,241627,59.58083333333334,50.6275,,27860878,4.88565008219703,13.103717431767402,17.245234623656653,142820.84252444466,11.869353276045263,1.6806530478059842,0.08121549859056866,3.2207248234691823,1.107937912078722,1,0,1
24 parganas south,2019,330385.54605839297,214169.978435,24378644,187.793751603841,44.0,354788,526242,38335,776386,1184542,26927264,1560660,50309541,689097,273886,56.833333333333336,36.949999999999996,130.99666666666667,23464000,5.23534429467561,12.708018599637622,17.009218102129964,93121.96186409715,11.44167606941924,1.1045431402993537,0.0640175064700071,2.0636726554602465,1.0389807364473236,1,1,1
24 parganas south,2020,892610.0895809183,658284.1676884003,50471094,178.6576931248559,47.083333333333336,796648,1171552,93085,1028462,1538943,72678834,3608633,140311107,1265453,331040,62.98333333333333,54.33916666666667,107.55083333333333,50498292,5.185471646093924,13.701906255008845,17.736911354138154,112045.73281812272,11.626671320554278,1.4400090871816649,0.07149900495519276,2.7800290399887113,0.9994614075264169,1,2,1
