fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,Sep,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,1281175,136.096511163377,32,685,691.761872553,4121,0,7020,1596112,902517,126323,230967,31284,196.25859,3060.273208813,49252,73362,91557,238225,686,133738,330887,11141,2172.25274626,817513,60,45.38,63.96,123.89,NA
2018-2019,Sep,32,WEST BENGAL,3203,BIRBHUM,7091310,155.903392334935,40,3188,6536.475150616,31001,0,121062,8257177,3354059,513234,730635,108371,494.72122,19904.415424716,205535,322122,557822,1383176,6025,690989,1656096,152063,12873.2190541,3768069,71,57.77,53.97,115.8,NA
2018-2019,Sep,32,WEST BENGAL,3205,HOWRAH,2267272,153.837713221782,45,393,6702.70468970141,22154,0,37224,3683641,838026,82533,14891,1147,278.19754,12647.7313074014,81545,97401,177228,330777,3039,254647,454934,59378,5666.8290777,1708492,61,46.4,46.15,121.92,NA
2018-2019,Sep,32,WEST BENGAL,3206,HOOGHLY,10677640,155.613139365416,44,3483,14892.7475245512,44211,0,42201,16072847,7396491,588555,1642287,120824,599.37593,40503.5852566513,358613,501367,585699,1308151,11438,738311,1587195,86412,25011.4618021001,7048430,65,35.3,70.29,104.51,NA
2018-2019,Sep,32,WEST BENGAL,3207,JALPAIGURI,5558086,157.006847695574,35,810,4831.5681088743,16542,0,23468,7247314,2808804,341987,1101851,130195,251.90368,16462.2510428743,206317,278066,347869,863365,1830,428063,1033780,40010,11378.779254,3475550,46,53.7,71.04,125.51,NA
2018-2019,Sep,32,WEST BENGAL,3211,PURBA MEDINIPUR,6524115,132.32203962339,39,3260,18105.5996190078,61452,0,248762,11432086,1825440,243104,54893,8424,668.75737,33901.5263557078,293097,451387,578866,1625105,5831,783377,2120633,310214,15127.1693667,6221267,72,60.29,51.07,158.19,NA
2018-2019,Sep,32,WEST BENGAL,3214,PURULIA,3838785,149.283385313189,37,2225,1058.464309091,36292,0,58502,4062189,913128,221420,982844,240196,436.89727,7559.53483611099,106923,171440,304718,989666,1647,511626,1541758,94794,6064.17325701999,1825785,71,78.38,54.42,108.76,NA
2018-2019,Sep,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,1581486,146.089355006027,40,177,3458.03177142076,76708,1,41216,2190160,640412,115611,310711,63119,151.96633,6809.58871902077,54225,76355,190559,401905,1685,259220,527564,117924,3199.5906176,1258296,83,67.94,71.26,123.67,NA
2018-2019,Sep,32,WEST BENGAL,3222,JHARGRAM,1351408,174.813205128421,29,220,4336.23953096662,14299,0,27860,1190386,266000,110096,389835,157745,253.08024,6670.27169096662,40589,57465,179818,494760,296,239987,635740,42159,2080.95192,507743,62,32.77,23.24,135.22,NA
2018-2019,Sep,32,WEST BENGAL,3225,PURBA BARDHAMAN,10590050,158.00887111494,50,6625,17308.5125542454,63431,0,91637,19585280,9083427,712671,1855198,149860,851.86597,49106.8583569454,385287,600029,768192,1893649,22859,905723,2170776,155068,30946.4798327,8600487,65,45.18,64.83,112.03,NA
2018-2019,March,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,3158126,162.491399087994,64,780,767.467744565,7730,0,7187,3447786,1924015,126224,494624,31283,395.35194,6765.175393525,53070,87057,91617,238135,9091,134208,331373,14917,5602.35570896,1743859,65,40.17,64.81,110.96,NA
2018-2019,March,32,WEST BENGAL,3211,PURBA MEDINIPUR,15790663,175.287590821758,76,4642,20233.2102753058,111261,0,242069,26497973,3825844,243062,123538,8424,1380.62305,68061.4918136057,348486,625747,579312,1625662,86511,786280,2125910,353330,46447.6584882999,14382045,72,58.06,56.53,140.36,NA
2018-2019,March,32,WEST BENGAL,3215,24 PARGANAS (NORTH),13723052,161.114649193048,75,1046,7770.0847484631,73781,1,80376,15917515,5186745,328522,894018,54476,1075.71879,34491.2519909639,209838,297435,434105,995454,82080,724435,1594327,154157,25645.4484525008,9467451,55,52.87,47.72,129.42,NA
2018-2019,March,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),5024590,194.551325846646,69,290,4667.537451583,3159,0,5423,6053679,444706,17832,2012938,78244,500.89282,16945.943028583,87690,112490,98879,234735,10637,123709,276020,8582,11777.512757,3020824,7,16.62,42.17,116.25,NA
2018-2019,March,32,WEST BENGAL,3221,KALIMPONG,3435348,198.066308000108,91,405,2143.562221001,1361,0,2063,3854648,254916,7916,1286403,39513,0,9778.321201001,42085,64504,45081,116983,20253,52534,131895,3424,7634.75898,1991589,9,16.91,31.44,139.82,NA
2018-2019,Aug,32,WEST BENGAL,3201,NADIA,3698787,133.785396865153,30,1039,4302.74046991891,31416,0,44984,3709081,987227,360716,106000,34563,423.24037,9688.18957581891,121549,168961,485634,1330855,567,716486,1868447,76400,4962.2087359,1844677,78,62.92,55.06,109.93,NA
2018-2019,Aug,32,WEST BENGAL,3205,HOWRAH,1817446,156.851502789101,36,366,6627.4296006294,19194,0,37193,2826897,652696,82529,12000,1147,223.65728,11285.1173074294,78471,92090,177092,330544,1191,254342,454456,56387,4434.0304268,1301579,60,48.04,46.86,120.02,NA
2018-2019,Aug,32,WEST BENGAL,3222,JHARGRAM,1084984,176.540049105725,27,196,4280.98380526662,13000,0,28046,1045092,233299,110093,340576,157742,202.7597,6328.74943526662,37924,53341,179799,494741,168,239913,635630,41046,1845.00593,445843,61,31.64,21.19,133.37,NA
2018-2019,Aug,32,WEST BENGAL,3225,PURBA BARDHAMAN,8488984,167.429547283729,44,6394,16585.6682952154,58432,0,90508,16533954,7684548,712848,1600937,149977,687.55814,44955.9507655154,374030,569539,768190,1894166,12276,905692,2171245,148940,27682.7243303,7211515,64,48.73,64.05,109.38,NA
2018-2019,July,32,WEST BENGAL,3201,NADIA,3063274,112.141423893125,21,841,4302.74046991891,29364,0,38943,2337233,628309,360723,66331,34565,337.62871,7261.37554581891,109376,140388,485599,1330846,47,716286,1868179,68307,2621.0063659,1156797,75,64.85,59.67,102.94,NA
2018-2019,July,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,813795,130.066989757091,23,633,651.201425709,2769,0,7427,1054388,603060,126319,146527,31308,127.56638,2150.178537669,44765,64343,91466,238178,203,133336,330362,10196,1371.41073196,540750,58,61.54,66.21,108.34,NA
2018-2019,July,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,187472,161.404055099981,29,27,805.117466914,1238,0,3802,204138,99615,79551,50766,44106,42.21484,1176.819316914,7030,7586,70267,165658,7,97736,219645,5040,329.48701,119930,79,34.35,22.6,105.72,NA
